0	unknown error
AF5	"--implicit_noexcept" requires a mode that enables noexcept
AF6	cannot fold operation involving virtual base class (%t)
AF7	initialization is not constant
AF8	cannot evaluate value of incomplete %t
AF9	ignoring return value from routine declared with "nodiscard" attribute
AFA	ignoring return value type with "nodiscard" attribute
AFB	the "nodiscard" attribute does not apply to destructors or routines with void return type
AFC	the "fallthrough" attribute only applies to null statements
AFD	the "fallthrough" attribute may only appear in an enclosing switch statement
AFE	fallthrough statement must precede switch case label or default
AFF	reference or pointer to temporary with limited lifetime
B00	cannot take the address of a function with an "enable_if" attribute whose condition is not unconditionally true
B01	"enable_if" attributes with conditions that are not constant values are not currently supported
B02	attribute was declared here
B03	__has_include cannot appear outside #if
B04	could not add CComCoClass base class
B05	not a null-terminated string
B06	non-scalar type %t cannot be used in a pseudo-destructor call
B07	address of "weak" %n is not constant
B08	too many recursive substitutions of function template signatures
B09	invalid specifier for structured binding declaration
B0A	invalid structured binding syntax
B0B	missing initializer
B0C	type %t has no components to bind to
B0D	too many identifiers
B0E	there are more elements than there are binding names
B0F	"std::tuple_element" not defined
B10	cannot instantiate "std::tuple_element" for <%s, %t>
B11	cannot call member function "get<%s>()" for type %t
B12	no instance of %no matches the argument list
B13	this structured binding requires a suitable %sq function and none was found
B14	a structured binding cannot be declared "inline"
B15	a structured binding cannot be declared "constexpr"
B16	a structured binding cannot declare an explicit storage class
B17	std::tuple_size<%t>::value is not a valid integral constant-expression
B18	a condition declaration must declare a variable
B19	a condition declaration must include an initializer
B1A	a parenthesized initializer is not permitted for a condition declaration
B1B	a condition declaration can only declare one variable
B1C	structured binding cannot bind to closure type
B1D	cannot bind to non-public %n
B1E	cannot bind to incomplete type %t
B1F	this declaration is not valid here
B20	the body of a constexpr function cannot be a function try block
B21	transfer of control into a constexpr if block is not allowed
B22	structured binding cannot be captured
B23	the version of Microsoft being emulated must be at least 1911 to use "--ms_c++17"
B24	attempt to read past the end of the object
B25	constexpr lambdas are not enabled in this mode
B26	a constant expression cannot contain a lambda expression
B27	value exceeds number of template arguments
B28	second operator in binary fold expression does not match first
B29	invalid fold expression operator
B2A	a binary fold expression cannot apply to two parameter packs
B2B	empty expansion not valid for this fold expression
B2C	a nonstatic data member cannot be declared as inline
B2D	fold expression does not refer to a parameter pack
B2E	two functions with the same parameter types but different exception specifications cannot be overloaded
B2F	dynamic exception specifications are not permitted in this mode
B30	
B31	invalid operand for noexcept specifier
B32	lambda expression cannot appear in noexcept specifier of a template
B33	%nfd is inaccessible
B34	invalid specifier in enum template declaration
B35	80-bit floating-point types are not supported in this configuration
B36	128-bit floating-point types are not supported in this configuration
B37	invalid enumerator value
B38	must be an _Atomic qualified type
B39	type of array element must be complete
B3A	the always_inline attribute has been suppressed for this function
B3B	a negative value is not permitted here
B3C	an integer pack element cannot match %n
B3D	an integer pack element cannot match %n
B3E	unexpected designator
B3F	cannot evaluate __builtin_offsetof
B40	deduction guide %t cannot be defined
B41	deduction guide must be declared in the same scope as %n
B42	invalid specifier for deduction guide declaration (only "explicit" is permitted)
B43	mutable %n of a constant cannot be accessed in a constant expression
B44	function modifier does not apply to static member declaration
B45	the "overloadable" attribute requires a prototyped function declaration
B46	cannot deduce "auto" template parameter type %t1 from %t2
B47	class template name must be a placeholder for the complete type being initialized (not for a component of that type)
B48	alias declarations are a C++11 feature
B49	alias templates are a C++11 feature
B4A	the return type must directly designate a specialization of the associated class template
B4B	copy-list-initialization cannot use "explicit" %n
B4C	deduction guide
B4D	Invalid value for user-defined literal operator
B4E	%s cannot appear outside of preprocessor directives
B4F	deduction guide must be declared with the same accessibility as %n
B50	a lambda is not permitted in this context
B51	specified alignment is not equivalent to previous declaration
B52	no alignment specified on definition; previous declaration had specified an alignment
B53	builtin function is not available because 128-bit floating-point types are not supported
B54	left-shifting a negative value has undefined behavior
B55	array designators are nonstandard in C++
B56	chained designators are nonstandard in C++
B57	mixing designated and non-designated initializers is nonstandard in C++
B58	out-of-order initializers are nonstandard in C++
